perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"Iniparib (BSI-201) | 10.0",False,False,False,-5356.28,38838.4
"Iniparib (BSI-201) | 100.0",False,False,False,-9609.41,15979.3
"Iniparib (BSI-201) | 1000.0",False,False,False,-8538.01,30573.9
"Iniparib (BSI-201) | 10000.0",False,False,False,3321.23,73634
"Ivosidenib (AG-120) | 10.0",False,False,False,37860.7,138188
"Ivosidenib (AG-120) | 100.0",False,False,False,-2866.72,59723.7
"Ivosidenib (AG-120) | 1000.0",False,False,False,-3742.16,49054
"Ivosidenib (AG-120) | 10000.0",False,False,False,10882.8,68922.6
"JNJ-26854165 (Serdemetan) | 10.0",False,False,False,324.78,38288.3
"JNJ-26854165 (Serdemetan) | 100.0",False,False,False,6985.11,59765.2
"JNJ-26854165 (Serdemetan) | 1000.0",False,False,False,4957.45,44871.5
"JNJ-26854165 (Serdemetan) | 10000.0",False,False,False,15948.4,105877
"JNJ-7706621 | 10.0",False,False,False,-2303.71,39636.2
"JNJ-7706621 | 100.0",False,False,False,-5109.62,22890.2
"JNJ-7706621 | 1000.0",False,False,False,14839.8,81435.6
"JNJ-7706621 | 10000.0",False,False,False,2166.76,44893
"KW-2449 | 10.0",False,False,False,-892.28,49686
"KW-2449 | 100.0",False,False,False,-5772.95,36822.6
"KW-2449 | 1000.0",False,False,False,21229.5,85042.5
"KW-2449 | 10000.0",False,False,False,27823.9,170859
"Ki16425 | 10.0",False,False,False,10775.8,81143.3
"Ki16425 | 100.0",False,False,False,34.7904,58670.4
"Ki16425 | 1000.0",False,False,False,-2925.81,40393.8
"Ki16425 | 10000.0",False,False,False,-3532.5,54729.3
"Ki8751 | 10.0",False,False,False,2614.5,83710.2
"Ki8751 | 100.0",False,False,False,6272.2,66334.9
"Ki8751 | 1000.0",False,False,False,11218.2,52965
"Ki8751 | 10000.0",False,False,False,-10563.8,21266.5
"Lapatinib (GW-572016) Ditosylate | 10.0",False,False,False,-2317.49,49906.1
"Lapatinib (GW-572016) Ditosylate | 100.0",False,False,False,12811.6,126150
"Lapatinib (GW-572016) Ditosylate | 1000.0",False,False,False,2894.87,41380.7
"Lapatinib (GW-572016) Ditosylate | 10000.0",True,False,False,-12800.2,19698.7
"Lenalidomide (CC-5013) | 10.0",False,False,False,5544.52,47673.8
"Lenalidomide (CC-5013) | 100.0",False,False,False,5508.42,60244.6
"Lenalidomide (CC-5013) | 1000.0",False,False,False,10839.8,65789.4
"Lenalidomide (CC-5013) | 10000.0",False,False,False,-9025.97,9971.86
"Linifanib (ABT-869) | 10.0",False,False,False,-6367.22,34912.9
"Linifanib (ABT-869) | 100.0",False,False,False,-84.5093,72081.1
"Linifanib (ABT-869) | 1000.0",False,False,False,7134.37,57798.9
"Linifanib (ABT-869) | 10000.0",False,False,False,222.921,66174.9
"Lomustine  | 10.0",False,False,False,-1239.97,46293.2
"Lomustine  | 100.0",False,False,False,9260.6,68502.7
"Lomustine  | 1000.0",False,False,False,-3821.27,54951.8
"Lomustine  | 10000.0",False,False,False,-6045.98,31534
"Luminespib (AUY-922, NVP-AUY922) | 10.0",False,False,False,9411.55,58915
"Luminespib (AUY-922, NVP-AUY922) | 100.0",False,False,False,36197.7,107632
"Luminespib (AUY-922, NVP-AUY922) | 1000.0",True,False,False,250834,466902
"M344 | 10.0",False,False,False,18936.8,145449
"M344 | 100.0",True,False,False,4864.72,106714
"M344 | 1000.0",False,False,False,961.736,36360
"M344 | 10000.0",True,False,False,-438.513,53037.8
"MC1568 | 10.0",False,False,False,-5181.3,30245.8
"MC1568 | 100.0",False,False,False,-466.509,80152.5
"MC1568 | 1000.0",False,False,False,-423.761,60786
"MC1568 | 10000.0",False,False,False,6566.15,51381
"MK-0752 | 10.0",False,False,False,2974.36,87362.7
"MK-0752 | 100.0",False,False,False,-2859.59,32264.1
"MK-0752 | 1000.0",False,False,False,16291.6,89320.7
"MK-0752 | 10000.0",False,False,False,7234.98,68532.8
"MK-5108 (VX-689) | 10.0",False,False,False,-7393.93,28881.5
"MK-5108 (VX-689) | 100.0",False,False,False,-10666.2,19777.4
"MK-5108 (VX-689) | 1000.0",True,False,False,38068.5,154745
"MK-5108 (VX-689) | 10000.0",False,False,False,17229,102043
"MLN8054 | 10.0",False,False,False,-12832.1,18955.8
"MLN8054 | 100.0",False,False,False,362.33,49301.2
"MLN8054 | 1000.0",False,False,False,-2304.64,39358.1
"MLN8054 | 10000.0",False,False,False,15480.5,104531
"Maraviroc | 10.0",False,False,False,35830.7,156947
"Maraviroc | 100.0",False,False,False,-7630.04,28374.7
"Maraviroc | 1000.0",False,False,False,7198.18,71840.4
"Maraviroc | 10000.0",False,False,False,5416.86,74535.1
"Meprednisone | 10.0",False,False,False,25519.4,84256.3
"Meprednisone | 100.0",False,False,False,3224.98,58467
"Meprednisone | 1000.0",False,False,False,-6105.01,62743.6
"Meprednisone | 10000.0",False,False,False,11315.9,56360.5
"Mercaptopurine (6-MP) | 10.0",False,False,False,-8021.27,19766.9
"Mercaptopurine (6-MP) | 100.0",False,False,False,-7260.98,34439.7
"Mercaptopurine (6-MP) | 1000.0",False,False,False,-3288.44,46476.5
"Mesna  | 10.0",False,False,False,-9633.8,22432.8
"Mesna  | 100.0",False,False,False,2216.15,90885.3
"Mesna  | 1000.0",False,False,False,1360.6,40048.5
"Mesna  | 10000.0",False,False,False,18446.4,73011
"Mocetinostat (MGCD0103) | 10.0",False,False,False,-5054.89,27871.8
"Mocetinostat (MGCD0103) | 100.0",False,False,False,-11995.7,20342.7
"Mocetinostat (MGCD0103) | 1000.0",False,False,False,-11758.5,20011.8
